en	lin
Hey, don't touch anything!	Keba! Kosimba eloko te !
When someone loses their mind and then returns to normal, they remember nothing.	Tango moto abimi na molimo na ye mpe azongi na bomoto, ayebaka lisusu eloko te.
He spent all his time staring at the screen.	Alekisi tango na ye nyonso na kotala télévision.
Mrs. Charrigaud, behind her fixed smile, was thinking: What an idiot this Victor is!	Ndeko mwasi Charrigaud, na sima ya kosenga moke, akanisi: - Zoba nini azali Victor oyo !
The marketing manager is in a meeting with the head of the executive committee.	Mokonzi ya Marketing azali na eyangani na mokonzi ya comité ya kokokisa mikano.
The funeral ceremony took place in a sorrowful atmosphere.	Mayangani ya kokunda elekaki na lolenge ya mawa mpenza.
Pull yourself together!	Zogisa makanisi !
One day, I took it into my head to speak ill of love: it sent me marriage as revenge.	Mokolo moko, namikebisaki koloba mabe na tina ya bolingo: ye atindeli ngayi libala mpona kolakisa nkanda na ye.
You'd better send for the doctor right away.	Okosala malamu kobenga monganga sasayipi.
It would be a shame for you to let this opportunity slip away.	Ekozanga mpasi kotika likambo oyo koleka.
My name is Sara.	Nkombo na ngayi Sara.
Hatred stirs up conflict, but love covers over all offenses.	Koyina etindaka koswana, bolingo ebombaka mabe nyonso.
The conflict reached its peak when some politicians accused their opponents of colluding with big corporations.	Bobendani ekomaki makasi tango bato mosusu ya politiki bafundaki bato ya bombanda na bango koyokana na ba compagnie ya minene.
People who are afraid of making mistakes will make no progress in English conversation.	 Bato bazali na kobanga kosala bibunga, bakokende liboso soko moke te na masolo na lokota ya lingelesa.
You should do your duty.	Obengami kokokisa mosala na yo.
If she sees me with him, she'll talk about it with her friends.	Soki amoni ngayi na ye, akoloba yango na baninga naye.
While I was cleaning up after the school festival, I lost a building key, and I was forced to write a letter of apology.	Nabungisaki fungola ya lopango  tango nazalaki kokombola na sima ya elambo ya eteyelo, mpe esengelaki nakoma mokanda ya bosengi bolimbisi.
This article discusses progress in cancer research.	Mokanda oyo alobeli bikamwa ezali kosalama na boluki na tina ya bokobo bwa Cancer.
Yanis is preparing something special for Lucie's birthday.	Yanis azali kobongisa eloko moko ya kokamwa na elambo ya bokokisi mbula ya Lucie.
Anyone who uses or works with Esperanto is an Esperantist, and every Esperantist has every right to regard the language simply as a means of international mutual understanding.	 Moto nyonso asalelaka to asalaka na lokota ya esperato, abyangami masali ya esperanto, mpe mosali nyonso ya esperanto azali na makoki ya kozwa lokota lokola bobele eloko ekopesa nazela ya bososoli na kati ya bato na molongo mobimba.
As he thought, the image of his first wife crossed his mind.	Na kokanisa, lilingi ya mwasi na ye ya liboso ekomeli ye na molimo.
I'm sorry about your sister.	Nazali mpasi na tina ya ndeko na yo ya mwasi.
How far are TV shows willing to go to boost their ratings?	Kino wapi ba emission ya televion ekozali yakobongisama mpona kobakisa balandi ?
But I am convinced that in order to move forward, we must openly say the things weighing on our hearts, which are too often only said behind closed doors.	Kasi nazali na kondima ete mpona kokende liboso, esengeli toloba na polele makambo tozali na yango na motema, mpe elobamaka mingi na nkunku.
Well, if you're not going to stop me, I want you to drive me back to my friends' place.	Na boye, soki otiki te, nalingi ete omema ngayi esika ya baninga na ngayi.
Let me ask Gabriel if he wants to come with us.	Tika natuna Gabriel, soki alingi kokende na biso elongo.
We try to go to Boston at least once a year.	Tomekaka kokende Boston soki mingi mbala moko na mbula.
At the metro entrance, everyone presents their ticket or taps their contactless pass on the reader.	Na ekuke ya metro, moto moko moko alakisaka ticket to alakisaka abonnement na esika endimaka yango.
Don't panic!	Kobanga te !
Some children resort to suicide to escape unbearable pressure.	Bona mosusu bamibomaka mpona kokima mitungisi oyo bakokaka te.
You should apologize to Thomas for calling him that.	Esengeli osenga bolimbisi epayi ya Thomas na tina ya lolenge obengaki ye.
I felt like I owed Thomas an explanation.	Namonaki lokola nazalaki na makambo ya kolimbola epayi ya Thomas.
Some healthcare workers spend more time doing paperwork than caring for patients.	Basali mosusu ya bokolongono ya nzoto balekisa tango mingi na kosala eloko te na tango ya kosalisa babeli.
She lives on a small pension.	Abikaka na mosolo moke.
'Happy people! You see your city rising; / and we,' said the hero, 'are searching for a refuge!' / Yet he walks on, wrapped in his veil; / and, mingling with the crowd, he goes unnoticed.	"""Bato ya esengo ! Bomoni engoma kotelema; / mpe biso, elobi molongi, tozali koluka ebombelo. "" / azali kotambola kasi, na masuwa ezingami; / mpe emikotisi na kati ya bato, abosanaki yango."
It took a national television campaign to finally find Sami.	Esengelaki kopanza nsango na télévision nationale mpona komona lisusu Sami.
We received several threatening messages from the separatists and filed a complaint against them with the police.	Tozwaki maloba mingi ya kobangisa kowuta na bato ya bokabwani mpe tofundaki bango na police.
If you can't solve this problem, ask your teacher.	Soki okoki kosala likambo yango te, tuna moteyi na yo.
The heroin was found by the police, during a routine check, in the false bottom of a truck's cargo hold.	Molongi ya mwasi, basoda bamoni yango na kati ya ya esika babombaka biloko na nse ya motuka, na tango bazaki kosala mosala na bango ya mokolo na mokolo ya ko controler bato mpe mituka,
I'm sorry, I accidentally deleted the email you just sent me. Could you send it to me again?	Nasali mbeba, nabomi na koyeba te mokanda nasilaki kotinda na internet. Okoki kotindela ngayi yango lisusu ?
She lost the key to her locker while swimming in the pool.	Abungisi fongola ya armoire na ye tango azalaki kosukola na eziba ya mayi.
I have meat, cheese, and tomatoes in my sandwich.	Nazali na mosuni, fromage mpe tomate na kati ya sandwish.
He would like to know if you play chess.	Alingaki ayeba soki oyebi kosakana na masano ya échec.
They're asking us to keep the heating below 26 degrees, but in their offices, we're roasting! "Do as I say, not as I do," as usual.	Bazali kosenga biso tokoba kotiya moto na mosanda 26, kasi na biro na bango, moto ezali koleka ! « Bosala oyo nazali koloba kasi oyo nazali kosala te », lokola na momesano.
Tell me what you know about the incident.	Yebisanga makambo maye oyebi na tina ya likama.
Go back and sit down.	Zonga na esika na yo ya kovanda.
I remember handing him the key.	Nazali komikanisela napesaki ye fungola.
President Lincoln was assassinated by a bullet to the head, just behind the left ear.	Mokonzi ya mboka Lincoln abomamaki na lisasi na moto, na mopanzi ya litoyo ya mwasi.
Victory seemed within reach.	Elonga ezali pembeni.
Maybe atheists should also start knocking on doors to announce their good news to people.	Tango mosusu, esengeli mpe bato bandimaka Nzambe te, babanda mpe kobeta ba ekuke ya bato mpona koteya bango.
'I live in Roubaix,' said Jackie.	"""Navandaka na Roubaix"", Elobi Jackie."
When you want to deceive the world, tell the truth.	Soki olingi okosa bato, loba solo bosembo.
Even the word 'depression' itself was the terminological product of an effort to soften the connotation of deep disorder. In the last century, the term 'crisis' was normally used.	"Ata nkombo ya dépression yango moko esalamaki na kosala makasi mpona kolembisa mokumba ezali likolo ya nkombo ya ""liboma"". Na mokama ya mibu mileki, nkombo ""crime"" ezalaki kolobama na bopete nyonso."
Césarine's beauty was neither the beauty of a lady, nor that of French duchesses, but the round, ruddy beauty of Rubens' Flemish women.	Bonzenga ya Césarine ezalaki te bonzenga ya lady, mpe soko moke te ya basi ya bomengo ya France, kasi bonzenga ya loposo kitoko ya basi ya ba falamand.
I will never know if I was right to trust him.	Nakoyeba te soki nasalaki malamu kotiyela ye elikya.
I want you to tell me everything you know about this.	Nalingi ete oyebisa ngayi nyonso oyebi na tina ya likambo oyo.
You must show respect to your guests.	Esengeli olakisa botosi epayi ya bapaya na bino.
This woman is capable of focusing her efforts and energy to carry out her projects effectively and passionately.	Mwasi oyo azali na makoki ya kofanda mpe kosangisa makasi mpe molimo na ye mpona kotelemisa makanisi maye na lolenge ya makasi mpe ya kobenda bato.
Stop filming.	Kata kozwa bilili.
She would like him to contact her son as soon as possible.	Akolinga kokutana na mwana na ye na lombango.
The smile you send out comes back to you.	Liseki ozali kotinda ezonga epayi na yo.
She prepared a hedgehog-shaped ground pork dish for the party.	Alambi nyama ya ngulu ya kokata mpona elambo.
Well, don't hold back!	Na bolamu, koyoka soni te !
I have a feeling you'll make a very good lawyer.	Nazali komona ete okozala mosambeli ya bato ya malamu.
Almost all implementations of virtual memory divide an application's virtual address space into pages; a page is a block of contiguous virtual memory addresses.	"Pembeni ya kokotisa na mosala ya mémoire virtuelle ekabolaka esika ya kobongisa emonanaka na tango ya koiya makambo na lokasa; Lokasa ezali molongo ya ba adresse ""mémoires virtuelles contiguës""."
We are always harsh toward those who love us and serve us in silence.	Tozalaka na bonyama epayi ya bato balingaka biso mpe basalisaka biso kimya.
When you drive, you must obey the traffic laws.	Tango ozali komema motuka, esengeli obatela mibeko ya nzela.
We will ask Joan, virgin, saint and martyr, to pray to God for the greatness and glory of France!	Toko  senga na Jeanne, ngondo, mosanto mpe mbeka, asambela Nzambe mpona monene mpe lokumu ya France.
I got an excellent grade on the assessment, and that makes me very happy.	Nazwi malamo na momekana ya kelasi, yango ezali kopesa ngayi nsai.
Why did Gogol burn the second part of "Dead Souls"?	"Na tina nini Gogol atumbi etei ya mibale ya buku ya ""Âmes mortes""?"
Trust is a risk, and avoiding risk is the name of the game in business.	Kolikya na bato ezali na bokebi, kasi bokebi ezali nkombo ya lisano ya mombongo.
I jumped for joy when I heard the news.	Napimbwaki na esengo na tango nazwaki basango yango.
I won't go on a date with anyone who isn't cute.	Nakoki te kobima na moto oyo azali kitoko te.
He took off without waiting around.	Akeyi na lombango kozanga kosenge mbongo ya sanze.
A woman is like your shadow: chase her and she flees; flee from her and she chases you!	Mwasi azali lokola elilingi na yo, kolanda ye na sima, akokima; soki okimi ye akolanda yo na sima !
Cut the mozzarella into cubes of about 7 mm.	Kata fromage ya mozzarella na biteni kokokana na 7 mm.
There are a thousand channels through which the beauty of our soul can rise to our thoughts. There is, above all, the wonderful and central channel of love.	Ezali na banzela mokama nakolanda yango bonzenga ya molimo na biso ekoki komata kino na makanisi na biso. Ezali migi-mingi nzela ya kokamwisa mpe ya kati-kati ya bolingo.
But meanwhile, it flees: time flees without return, while we wander, prisoners of our love of detail.	Kasi nakozela, akimi: tango ekimaka ezongaka te, na tango tosalaka mabunga, mikangami na boloko ya bolingo na biloko nyonso.
The second stage, the most important one, will involve learning new morphosyntactic structures.	Eteni ya mibale, ezali na motuya koleka, etali koyekola lolenge ya sika ya kobongisa maloba.
Hugo was trying to forget his heartbreak by playing the piano.	Hugo azalaki komeka kobosana mpasi ya bolingo na ye, na kobeta piano.
When you take the medication, it will start acting on the symptoms, like the pain, right away, but that doesn't mean the ulcer will heal immediately.	Ntango bokozwa nkisi, ekobanda kosala na bilembo, lokola mpasi, mbala moko, kasi elingi koloba te ete mpota esalaka lipipi esili mbala moko.
It would be a shame to let our hard work go to waste.	Ekozala mawa kotika kobeba mosala na biso ya mpasi.
The cupboard will stay where I put it, there's no doubt about that.	Alumwalu enene ekotikala esika natiyaki yango,  wana  ntembe ezali te.
Mathis and Marie spent their honeymoon abroad.	Mathis mpe Marie balekisaki mikolo milandaki libala na bango na mboka ya bapaya.
My neighbor's house was featured in a review in last month's issue of Florilège de l'Architecture.	Ndako ya moninga avandi mpembeni na ngai ekomamaki na  zuluna ya motango ya Florilège ya ntoki-ndako na sanza eleki.
The authorities have issued an appeal to the public.	Bakonzi babengisi bana mboka.
Marie's singing teacher is a lyric soprano with an impressively wide vocal range!	Molakisi ya nzembo ya Marie azali soprano lyrique na mongongo ya molayi, ya malamu mpenza.
She spoke, and suddenly vanished into thin air; / she flees, and, despite my sighs and my tears, / cuts short the charm of so sweet a conversation.	Mwana mwasi alobi, mpe mbala moko akatswi; / akimi, mpe, ata mpema na ngai mpe mpizoli na ngai, / na masolo ya esengo akati bonzenga.
I hope you're having a good time!	Nakanisi ete ozali kolekisa ntango malamu !
What will Trump do now? Attack China? Destroy Russia? Wipe out Iran? He won't do anything, because the United States already tried all of this long before, and failed miserably.	Nini Trump akosala  na ngonga oyo ? Kobundisa Chine ? Kopanza Russie ? Kobebisa Iran ? Akosala eloko te mpo Amerique amekaki kosala oyo nyoso liboso kasi azuwaki te.
A dispute that drags on proves that both parties are wrong.	Mindondo oyo esilaka te ezali kolakisa ete bango nyoso bazali na mbemba.
No one among mortals is so great that he cannot be joined in prayer.	Moto moko te na kati ya bakufi azali monene mpo asangisama na mabondeli.
I am appealing to you to contribute to the new clinic.	Nabengisi yo mpo na osunga lopitalo oyo ya sika.
In France, the seventeenth century is the era of classical literature.	Na mboka France, ekeke ya zomi na sambo ezali eleko ya mikanda mpe nkota efulukaki.
At their head, Pyrrhus, axe in hand, / strikes redoubled blows upon the brazen doors. / The hinges tremble; the vast thickness of the planks gives way.	Na moto na bango, Pyrrhus, epasoli na liboko, / abeti mbala mibale likolo ya ekuke ya libende ya motane. \Biteni ya mabende biningani; biteni ya mabaya ya monene mafungwami.
The cops are looking for the gang's hideout.	Bapulusu bazali koluka libombami ya miyibi.
Sometimes, the football World Cup allows communal tensions within a country to be set aside, as everyone rallies behind the national team.	Mbala mosusu, lisano ya motope mpo na mokili mobimba etiaka mpembeni boko kilikili na kati ya bato na mboka moko, bango banso batelemaka nsima ya basani  ya ekipi ya ekolo na bango.
He listened to the news on the radio while feeding his dog.	Ayokaki  nsango na radio ntango azalaki koleisa mbwa na ye.
All savages can dance.	Bana mboka nyonso bayebaka kobina.
The image does not match reality.	Elilingi ekokani na bosolo te.
I am really sorry, but I have to cancel our meeting on February 27th.	Nazali mpenza na mawa, kasi nasengeli koboma likita  ya biso ya 27 ya sanza ya mibale.
I'm sorry. I take back what I said.	Nazali na mawa. Nalongoli oyo nalobaki.
I'm organizing a treasure hunt for my son's thirteenth birthday party.	Nazali koluka mbongo mpo na nteke ya mibu zomi na misato ya mbotama ya mwana na ngai ya mobali.
My husband earns a hundred thousand dollars a year.	Mobali na ngai afutamaka 100,000 dolale na mbula moko.
We hope to come back next year.	Tokanisi  kozongela mobu oyo ekoya.
Know then that the more we love, the less we should let a man, especially a husband, glimpse the extent of our passion.	Yeba ete ntango tolingani mingi,  tokoki kotika komona moto mingi te, mingi mobali, na etando ya bolingo na biso.
Every self-respecting mother covers her baby with kisses.	Mama nyoso oyo amitosaka apepwaka mwana na ye.
"""Upon leaving Ilion, our ancient abode, / (perhaps you know of Ilion's misfortune) / dragging a wearisome life from sea to sea, / at last the raging waves cast me into these places."""	"""Na bobimi ya Illion, epai tokovanda kala, /(ntango mosusu boyebi bobola ya Illion) / kowayawaya na bibale na bomoyi ya mitungisi, / na nsuka londende ya nkanda ebwakaki ngai na bisaka oyo. """
The IT sector is experiencing a period of growth.	Makambo ya bisalelo ya sika ezali kobika na eleko ya bokoli.
Raphaël and Marie are members of a secret society.	Raphaël mpe Marie bazali bato  ya lisanga moko ya sekele.
Form balls 3 cm in diameter and place them on a buttered sheet of aluminum foil.	Sala mabungutulu ya satimetele misato mpe tiya yango likolo ya nkasa ya aliminium ya mpembe batiya manteka.
Not only do you want to exploit me for your own interests, but you never fail to make arrogant remarks to me every time you get the chance.	Olingi kaka osalela ngai mpo na litomba na yo moko te, kasi ozangisaka te kobakisa mwa maloba ya enzombo ntango nyonso libaku epesameli yo.
What the peasant doesn't know, he doesn't eat. If the city dweller knew what he eats, he would immediately become a peasant.	Oyo moto ya mboka ayebi te, aliyaka yango te. Soki moto ya engumba ayebaka oyo azali koliya, akokoma na lombango moto ya mboka.
I dare not investigate too deeply, for fear of discovering the horrible truth!	Nakomeka kolukaluka na bozindo te, noki te nakokundola bosolo ya kobangisa !
He belongs to an extinct species. Perhaps he is the last hick in the world.	Azali ya baye basila kolimwa. Ntango mosusu azali moi-mboka ya nsuka mpenza na mokili.
Yet she began to carefully put away the documents and notes, out of the habit of a good housekeeper who did not want to leave anything in disorder behind her.	Abandaki kobongisa malamu minkanda, na ezaleli ya mwasi malamu ya ndako oyo alingaki kotika eloko moko na mobulu nsima na ye te.
The smell of dirty socks makes me want to vomit.	Nsolo ya soseti ya bosoto epesaka ngai mposa ya kosanza.
Sometimes, Enzo would come to meet up with his old friends.	Ntango mosusu, Enzo azalaka koya kokutana na baninga ya kala.
I have done everything I could for that, and I think you have shown the greatest interest in grasping not only these rules but also the "spirit" of this marvelous creation of the Master, Zamenhof.	"Nasalaki nyoso esengeli mpo na yango, mpe na banzi  ete bokolakisa litomba ya monene ya koyeba kaka mibeko wana te, kasi lisusu ""molimo"" ya bokeli ya kokamwa ya Moteyi, Zamenhof."
My husband is an expert when it comes to cooking Chinese food.	Mobali na ngai  azali makasi  soki esengeli kolamba bileyi ya ba chinois.
Do more sport, otherwise you'll be overweight.	Salaka lisano koleka, soki te okozala na ba kilos koleka.
Rick was very excited to have passed the exam.	Rick asepelaki mingi na kozwa  na momekano.
I didn't know why I wasn't supposed to go to that part of town.	Nayebaki te mpo na nini nasengelaki te nazala na ngambo oyo  ya engumba.
I prefer to leave the curtains open to let in the moonlight.	Nasepeli kotika ba lido polele mpo  ekotisa mwinda ya sanza.
Allow me to introduce myself.	Botika ngai namilakisa.
A dispute broke out inside the convention hall, and punches immediately began to fly.	Koswana ebandaki na kati  ya ndako ya bosangani, mpe makofi ebandi mbala moko.
The deputy only looks after his own interest.	Mokonzi molandeli  atalaka kaka litomba oyo ya ye.
The new "Take That" album is awesome!	"Apasoli alibum ya sika ya ""Take That"" !"
An army is made up of a vanguard, a rearguard, and the main body of the army.	Limpinga  ezali na ebateli moko ya liboso, ebeteli moko ya nsima mpe monene ya limpinga.
One should not celebrate victory before the battle.	Okoki koyemba elonga te liboso ya etumba.
Bonsais are miniature trees which, in their natural environment, could reach 10 to 20 meters in height.	Bonsaïs izali nzete ya mike, eye na kati ya zamba, ikoki kokoma ba 10 kino 20 metele ya molayi.
Magnificent luxury apartment for rent in Spain.	Ndako kitoko ya kofutela na Espagne.
It is ridiculous, even absurd, to think about the superiority of man over woman or woman over man.	Ezali litiyo mpe ntina te ya kokanisa bokonzi ya mobali likolo ya mwasi to mpe ya mwasi likolo ya mobali.
Do you mind turning on the TV?	Ekotungisa yo soki na kopelisa télé ?
That man does not come easily to self-knowledge, but needs to search for it, is probably due to the fact that in his childhood he developed a system of false beliefs.	Mobali aya te na bopete ya mayele na ye moko, kasi  azala na mposa ya koluka, kokamata bosolo na oyo ya bomwana na ye, kolimbola  ndenge ya makanisi mabe.
If you really want to get to know a place, you must go off the beaten path.	Soki bolingi mpenza koyeba esika moko, bokoki kobima na nzela  ya kala.
Her oval face was her trademark.	Elongi na ye ya  libungutulu ezalaki ndenge na ye ya kosalema.
The Japanese art of flower arrangement is called Ikebana.	Ntoki ya ba japonais ya ebongiseli fulele ebengami Ikebana.
Every time I learn that an artist I like, or a writer I admire, has just been awarded an honor, I feel a painful sensation, and I immediately say to myself: What a shame!	Ntango nyonso soki nayoki ete moi-ntoki oyo nalingi, ete mokomi moko oyo nalulaka  bawuti kozwa palata, nayokaka satima ya mpasi, mpe namilobeli mbala moko: Mabe nini !
If you are unhappy with your private life, I suggest you sign up on Facebook. It's the best way to get rid of it.	Soki osepeli na bomoyi na yo moko te, napesi yo toli ya komikomisa na Facebook. Ezali nzela ya malamu  ya kotika yango.
Contrary to popular belief, forests are not the lungs of the planet; they only produce a third of the air we breathe.	Engebene na makanisi ozwaki te, zamba izali  lipululu ya planeti te ipesaka kaka  eteni ya isato ya mopepe oyo topemaka.
Wendy was not always interested in Japanese festivals.	Wendy amipesaka mikolo nyonso te na biyenga ya ba japonais.
Mr. Mitchell demanded that I pay the rest of the money by the end of the week.	 Mitchell alingaki ete natiya  mbongo etikalaki na nsuka ya mposo.
The best of all parents are those who allow their children to follow their natural talents.	Bababoti  ya malamu bazali baoyo bandimelaka bana na bango kolanda  makoki ya bango ya mbotama.
Take your hands out of your pockets when you talk to me!	Bolongola maboko na bino na mabenga ntango bozali koloba na ngai.
Mail, account statements, or communications from the bank will be sent to the account holder at the address given at the time the account was opened.	Kotinda minkanda  to  minkanda ya konti to ya masolo ya banki  ekosalema na mokolo konti na nzela epesamaki na ngonga ya bofungoli konti.
He had been informed that all the company's employees would be present for the occasion.	Bayebisaki ye ete basali banso ya kompani bakoki kozala wana na libaku.
With my respectful regards, please accept, Madam Minister, the expression of my highest consideration.	Na botosi  ya ngai ya lokumu, nasengi na yo  koyamba, mama ministele, elobeli ya ngai ya lokumu koleka.
It was so hot that I slept with the window open.	Molunge elekaki makasi ete nalalaki lininisa polele.
As far as I know, he's a great guy.	Na maye nyonso nayebi, azali mobali moko ya kitoko.
I left right after finishing my series because I was too pleased with myself. I let my team down.	Nabimaki kaka nsima ya kosilisa molongo ya mituna na ngai mpo nasepelelaki na ngai mingi. Natikaki ekipi na ngai epola.
Why didn't you admit to me sooner that you loved me?	Mpo na nini oyebisaki ngai te uta kala ete olingaka ngai ?
Unable to answer the teacher's questions, I was covered in shame in front of my classmates.	Kozanga koyanola na mituna ya motangisi, namiyokaki nsoni liboso ya baningai na gai ya kelasi.
Well, you know, that story—I don't give a damn about it.	Ben, oyibi,  nsango oyo, etali ngai te.
The two of us know that you two are lying.	Biso mibale toyebi ete bino mibale bozali kokosa.
The tall guy smoking a cigar over there is a famous director.	Mokolo ya mobali  azali komela makaya  azali mosali filime monene.
"One of the most important monuments of ancient art is the ""Chronicle of Times Past,"" written by the pen of an unknown author."	"Moko ya  motuya ya bikeko monene ya ntoki ya kala "" Makambo ya ntango eleka"", ekomama na losanla ya mokomi ayebani te."
Many clients come to consult this lawyer.	Ebele ya bakiliya  bayaka kotala molobeli oyo.
Now that the kid has fallen into the well, all we can do is limit the damage.	Lokola sika  mwana akweyi na kati ya libulu,  etikali na biso kaka kosukisa mbemba.
After a few years, instead of "The International Language of Doctor Esperanto," the short name "Esperanto" came into use. On this day, we are therefore celebrating the hundred and twenty-fifth anniversary of Esperanto throughout the whole world.	Na nsima ya mibu, na esika ya  « Monoko ya mokili mobimba ya monganga  Espéranto»  nkombo mokuse ya «  espérato » ekolobama. Na mokolo oyo  tozali kosepela bongo mibu nkama ntuku mibale na mitano ya mbotama ya espéranto na mokili mobimba.
Last October was warmer than normal.	Sanza ya zomi eleki molunge ezalaki makasi koleka momesano.
Ever since I learned of the university's existence, I have always wanted to take classes there.	Banda nayebaki ete universite ezali,  nalingaka kaka kotanga  kuna.
I spent the entire week working on this file.	Nalekisaki  mposo mobimba kosala na dosye oyo.
It was with Karl Friedrich Schinkel that he made the sketches for the sets and costumes for his opera "Ondine"; and art objects reminiscent of this work adorned his room in Berlin.	Ezali na Karl Friedrick Schinkel nde asalaki ebandela ya ekembisi mpe ya  kazaka mpo na teyatele ya miziki na ye « Ondine  »; mpe biloko ya ntoki ya kokanisa mosala  ebongisaka eteni ya ye ya ndako ya kolala na Berlin.
Suddenly, they started shouting, two of them stood up and nearly came to blows.	Mbala moko, babandi koganga, mibale kati na bango batelemaki mpe balingangi babunda.
She was named Alice, like her aunt.	Babengaki ye Alice, ndenge moko na tata mwasi na ye.
Léo's friends run along the path.	Baninga ya Léo bazoleka nzela na kokima.
Yes, I loved her a lot, but on the other hand she caused me an enormous amount of trouble.	Ya solo, nalingaki ye mingi, kasi na esika mosusu atungisaki ngai mingi.
"The city of Brno is often called ""the biggest village in the Czech Republic"" despite its 400,000 inhabitants."	"Engumba ya Brno ebengamaka mingi ""mboka ya munene ya republiki Tcheque"" ata ba 400 000  ya bato."
Plitvice National Park in Croatia is one of the most beautiful places in Europe.	Nzamba ya mboka ya Plitvice na Croasie eza esika moko ya kitoko na Europa.
The restaurant owner allowed her to take the leftovers home to feed all her dogs.	Mokolo  nganda  a ndimi a mema ndabu ya biloko yakolia epayi naye mpo nakoliesa ba mba  naye.
"Are you married, you and your girlfriend?" "Of course not." "Oh really? I thought you were."	«Bobalani, na moninga na yo? » « te. » «Ah malamu? Nakanisaka  ete ee. »
I would have drowned if you hadn't saved me.	Nalingaki na dinda soki obikisaki ngai te.
He read the entire Old Testament in one year.	Atangaki mobimba ya bondeko bwa kala na mbula moko.
Bravo! You did a lovely job on this drawing.	Longonya! Osalaki liyemi oyo kitoko
Do you like rock and roll?	Olingaka rock and roll?
I waited for you to get out of prison.	Nayokaki ko bima nayo na boloko.
He found her waiting for him.	Akutaki azo zela ye.
My broke husband took me to McDonald's for our anniversary.	Mobali nangai a memaki ngai na Macdo mpo na mbotama nabiso.
Once we understand that misunderstanding is the common lot of the human condition, there is no shame in being wrong, only in failing to correct one's mistakes.	Tango  to sosoli ete boyokani te eza ebele ya  kozala ya kibomoto, koza soni ata mokote komi kosa, kasi  kobongisa kaka  mabunga.
Hugo is rightly very proud to have won the bronze medal.	Hugo  aza semba na bolongi ya nzele ya bronze
The philosopher who wants to extinguish his passions is like the chemist who would want to put out his fire.	Philosophe oyo alingi a koma molozi akokani na chimiste oyo alingi a koma na moto naye
The power of love and compassion is infinitely stronger than the power of weapons.	Makasi ya bolingo mpe ya mauwa  eza makasi mpo na libela koleka makasi ya mondoki
I bet you can't guess where I was last night!	na tie tembe ete okoyeba te esika nazalaki butu eleki!
Are you ready to enlist in an army that defends a racist and colonialist state?	Ondimi ko banda na limpinga oyo ezo telemela leta ya boposo ya nzoto mpe ya mboumbu?
Jules keeps texting me nonstop.	Jule azo tindela ngai ba SMS tango nyoso.
Tofu can be used to replace meat.	Tofu eza natina mpo nako salela yango naesika   ya nyama.
It makes me sad that you're leaving this city.	Ezo sala ngai mpasi ete otika engumba oyo.
Even if you go far away, let's stay in touch by phone.	Ata zoki okeyi mosika,  totikala  nakombena na tshobo.
Could you put that bag somewhere else?	Olingi kotia sakoshe oyo esika mosusu?
When he went to visit his hateful neighbor, Enzo was armed from head to toe.	Tango akendaki kotala moninga naye ya mabe, Enzo azalaki na mondoki na mutu ti na makolo.
You cannot be forced to testify against your husband.	Tokoki ko busa yote  ko sakola natina ya mobali nayo.
Venus, a desolate planet shrouded in thick clouds of sulfuric acid—did it foretell the future of Earth?	Venus, planete mokili mokauka eza na lipata monene ya acide sulifurike, ekotungiza lobi ya mabele?
"Captain, can we say that an object is lost if we know where it is?" "No." "Well then, Captain, your pocket watch is not lost, for I know it lies at the bottom of the sea."	«Kapitene, ekoki kolobama ete eloko  ebungi soki bayebi esika ezali? » « te. » «Ntango yango, kapitene, motele nayo ya moke embungaki te, kutu na yebi te ezalaka na kati ya mai monene. »
Do you think we should wait, hoping that it will change?	Bokanisi ete tokoki ko zela nakotia elekia ete wana ekobongana.
The boy soon came to, color returned to his cheeks, he jumped off the old man's lap and danced on the ground around him.	Mwana mobali  akomizongela yemoko lobi,  roze ekomi na matama naye, a pembi na makolo ya mobange ya mobali mpe abini, na mabele, nzinganzinga  na ye.
He never died; he hid in the castle, he still lives there, settled in sleep.	Akufaki te, na ndako azalaki kobombana,  aza na bomoi, nakati ya pongi kaka.
This video made me cry, I'm not going to lie anymore.	Video oyo elelisaki ngai, nalingi ko kosa lisusu te.
We are in a period of crisis, and the real change, the real transformation, are not yet ready.	Toza na tango ya kokoso, mpe kobongola ya salo, mpe kokende ya solo ekokismi nanu te.
My grandfather doesn't remember what happened yesterday, but can describe in detail what happened forty years ago.	Papa nkoko nangai azoyeba lisusu te oyo elekaki lobi, kasi akoki kokoma   nyoso oyo  elekaki na ntuku minei ya mbula.
Please enclose a stamped, self-addressed envelope with your proposal.	okoki kotia na kobanza nayo mukanda ya  esika nayo.
The meal finished, everyone, in long speeches, / asks again about the days of their lost friends; / their hearts are torn between hope and fear: / are they still alive? or else, deaf to their lament, / are they already covered by the shadows of death?	Bileyi yakosila, nyoso, na masolo molai; / ya baninga naye oyo babugaki  basengi mikolo; / mitema nabango ekabwani na elikia mpe kobanga : /baza na bomoi lisusu? Tango mosusu, kimia na bosengi nabango, / bazipani   nanu  na elili ya liwa?
There were more guests than expected at the birthday party.	 Bapaya balekaki  mingi kolekaki  na eyenga ya mbotama.
A 19-year-old Canadian broke the world record last month for a nonstop round-trip swim across the English Channel.	 Canadien moko ya mbula zomi na libwa a  bimaki molongaki ya mboko nzaza eleki mpo na kokende -kozonga  nakotika te   kobeta mai na maboko
